id,lottery_date,times,num_set,one_unit,one_amount,two_unit,two_amount,three_unit,three_amount,four_unit,four_amount,five_unit,five_amount,sales,carryover,created_at,updated_at
947,2015-08-27,997,"03,05,08,11,33,43,23",1,400000000.0,16,7763100.0,373,399600.0,18067,7200.0,267313,1000.0,1800153600.0,108513197,2016-04-30 23:08:24.000000,2016-04-30 23:08:24.000000
948,2015-08-24,996,"01,03,14,26,27,42,25",0,0.0,10,12282100.0,290,508200.0,14260,9100.0,221547,1000.0,1684972000.0,370501171,2016-04-30 23:08:25.000000,2016-04-30 23:08:25.000000
949,2015-08-20,995,"07,11,17,21,37,39,36",1,400000000.0,18,7496200.0,363,446000.0,16692,8500.0,251599,1000.0,1869362600.0,234031537,2016-04-30 23:08:25.000000,2016-04-30 23:08:25.000000
950,2015-08-17,994,"18,22,29,31,39,43,09",0,0.0,5,27679100.0,176,943600.0,9959,14700.0,181812,1000.0,1747901000.0,484104446,2016-04-30 23:08:25.000000,2016-04-30 23:08:25.000000
951,2015-08-13,993,"01,05,10,32,38,40,18",0,0.0,0,0.0,192,694400.0,9449,12400.0,165736,1000.0,1447270800.0,330330282,2016-04-30 23:08:25.000000,2016-04-30 23:08:25.000000
952,2015-08-10,992,"04,06,08,22,27,38,34",0,0.0,7,12311000.0,320,323100.0,16012,5600.0,227018,1000.0,1341299000.0,95753342,2016-04-30 23:08:25.000000,2016-04-30 23:08:25.000000
953,2015-08-06,991,"03,18,21,25,29,37,35",3,35920900.0,2,48492800.0,349,333400.0,12022,8500.0,179954,1000.0,1341666400.0,0,2016-04-30 23:08:25.000000,2016-04-30 23:08:25.000000
954,2015-08-03,990,"04,12,16,27,28,41,42",4,26701800.0,8,12015700.0,344,335300.0,14295,7100.0,200336,1000.0,1378608400.0,0,2016-04-30 23:08:26.000000,2016-04-30 23:08:26.000000
1032,2016-06-02,1076,"21,22,24,30,31,43,19",0,0.0,2,63286300.0,189,803600.0,8612,15500.0,157572,1000.0,1579230800.0,254791972,2016-06-02 10:55:02.000000,2016-06-02 10:55:02.000000
1040,2016-06-30,1084,"01,07,20,28,34,38,16",2,62278200.0,9,12455500.0,170,791200.0,8315,14200.0,152233,1000.0,1426828600.0,0,2016-06-30 10:55:02.000000,2016-06-30 10:55:02.000000
1094,2016-09-15,1106,"01,04,08,10,18,33,15",3,35491900.0,7,13689600.0,285,403400.0,13184,7600.0,193826,1000.0,1361246000.0,0,2016-09-15 10:55:03.000000,2016-09-15 10:55:03.000000
